Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Fishes,Cichlidae,Hemichromis letourneuxi,,African Jewelfish,Exotic,Freshwater-Brackish,,
Fishes,Cichlidae,Herichthys carpintis,,Lowland Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Herichthys cyanoguttatus,,Rio Grande Cichlid,Native,Freshwater,,
Fishes,Cichlidae,Heros severus,,Banded Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Labeotropheus fuelleborni,,blue mbuna,Exotic,Freshwater,,
Fishes,Cichlidae,Melanochromis auratus,,golden mbuna,Exotic,Freshwater,,
Fishes,Cichlidae,Oreochromis aureus,,Blue Tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Oreochromis mossambicus,,Mozambique Tilapia,Exotic,Freshwater-Brackish,,
Fishes,Cichlidae,Oreochromis mossambicus x hornorum,,hybrid tilapia,Exotic Hybrid,Freshwater,,
Fishes,Cichlidae,Oreochromis niloticus,,Nile Tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Oreochromis sp.,,Tilapia species,Exotic,Freshwater,,
Fishes,Cichlidae,Oreochromis, Sarotherodon, Tilapia sp.,,tilapia,Exotic,Freshwater
Fishes,Cichlidae,Oreochromis, Sarotherodon, Tilapia sp. x sp.,,hybrid tilapia,Exotic Hybrid,Freshwater
Fishes,Cichlidae,Parachromis managuensis,,Jaguar Guapote,Exotic,Freshwater,,
Fishes,Cichlidae,Petenia splendida,,Giant Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Pseudotropheus socolofi,,Pindani,Exotic,Freshwater,,
Fishes,Cichlidae,Pterophyllum scalare,,freshwater angelfish,Exotic,Freshwater,,
Fishes,Cichlidae,Rocio octofasciata,,Jack Dempsey,Exotic,Freshwater,,
Fishes,Cichlidae,Sarotherodon melanotheron,,Blackchin Tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Telmatochromis bifrenatus,,Lake Tanganyika dwarf cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Thorichthys meeki,,Firemouth Cichlid,Exotic,Freshwater,,
Fishes,Cichlidae,Tilapia buttikoferi,,zebra tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Tilapia mariae,,Spotted Tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Tilapia sp.,,unidentified tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Tilapia sparrmanii,,banded tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Tilapia zillii,,Redbelly Tilapia,Exotic,Freshwater,,
Fishes,Cichlidae,Vieja melanura,,Redhead Cichlid,Exotic,Freshwater,,
Fishes,Clariidae,Clarias batrachus,,Walking Catfish,Exotic,Freshwater,,
Fishes,Clupeidae,Alosa aestivalis,,Blueback Herring,Native,Freshwater-Marine,,
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine,,
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine,,
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine,,
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine,,
Fishes,Cobitidae,Misgurnus anguillicaudatus,,Oriental Weatherfish,Exotic,Freshwater,,
Fishes,Cobitidae,Pangio kuhlii,,coolie loach,Exotic,Freshwater,,
Fishes,Cyprinidae,Barbonymus gonionotus,,Java Barb,Exotic,Freshwater,,
Fishes,Cyprinidae,Barbonymus schwanenfeldii,,tinfoil barb,Exotic,Freshwater,,
Fishes,Cyprinidae,Carassius auratus,,Goldfish,Exotic,Freshwater,,
Fishes,Cyprinidae,Ctenopharyngodon idella,,Grass Carp,Exotic,Freshwater,,
Fishes,Cyprinidae,Ctenopharyngodon idella,diploid,Grass Carp (diploid),Exotic,Freshwater,,
Fishes,Cyprinidae,Ctenopharyngodon idella,triploid,Grass Carp (triploid),Exotic,Freshwater,,
Fishes,Cyprinidae,Ctenopharyngodon x Hypophthalmichthys idella x nobilis,,grass carp x bighead carp,Exotic Hybrid,Freshwater,,
Fishes,Cyprinidae,Cyprinus carpio,,Common Carp,Exotic,Freshwater,,
Fishes,Cyprinidae,Danio rerio,,zebra danio,Exotic,Freshwater,,
Fishes,Cyprinidae,Devario malabaricus,,Malabar danio,Exotic,Freshwater,,
Fishes,Cyprinidae,Hybopsis cf. winchelli,,clear chub,Native,Freshwater,,
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater,,
Fishes,Cyprinidae,Labeo chrysophekadion,,black sharkminnow, black labeo,Exotic,Freshwater,
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater,,
Fishes,Cyprinidae,Luxilus chrysocephalus isolepis,,Striped Shiner,Native,Freshwater,,
Fishes,Cyprinidae,Nocomis leptocephalus bellicus,,Bluehead Chub,Native,Freshwater,,
Fishes,Cyprinidae,Notemigonus crysoleucas,,Golden Shiner,Native,Freshwater,,
Fishes,Cyprinidae,Notropis baileyi,,Rough Shiner,Native,Freshwater,,
Fishes,Cyprinidae,Notropis harperi,,Redeye Chub,Native,Freshwater,,
Fishes,Cyprinidae,Pethia conchonius,,rosy barb,Exotic,Freshwater,,
Fishes,Cyprinidae,Pethia gelius,,dwarf barb,Exotic,Freshwater,,
Fishes,Cyprinidae,Pimephales promelas,,Fathead Minnow,Native,Freshwater,,
Fishes,Cyprinidae,Puntigrus tetrazona,,tiger barb,Exotic,Freshwater,,
Fishes,Cyprinidae,Tinca tinca,,Tench,Exotic,Freshwater,,
Fishes,Doradidae,Oxydoras niger,,ripsaw catfish,Exotic,Freshwater,,
Fishes,Doradidae,Platydoras costatus,,Raphael catfish,Exotic,Freshwater,,
Fishes,Doradidae,Pterodoras granulosus,,granulated catfish,Exotic,Freshwater,,
Fishes,Doradidae,Pterodoras sp.,,thorny catfish,Exotic,Freshwater,,
Fishes,Ephippidae,Platax orbicularis,,orbicular batfish,Exotic,Marine,,
Fishes,Erythrinidae,Hoplias malabaricus,,trahira,Exotic,Freshwater,,
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater,,
Fishes,Fundulidae,Fundulus lineolatus,,Lined Topminnow,Native,Freshwater,,
Fishes,Fundulidae,Fundulus seminolis,,Seminole Killifish,Native,Freshwater,,
Fishes,Grammatidae,Gramma loreto,,Fairy Basslet,Exotic,Marine,,
Fishes,Helostomatidae,Helostoma temminkii,,kissing gourami,Exotic,Freshwater,,
Fishes,Hemiscylliidae,Chiloscyllium punctatum,,brownbanded bambooshark,Exotic,Marine,,
Fishes,Heptapteridae,Rhamdia quelen,,bagre,Exotic,Freshwater,,
Fishes,Heptapteridae,Rhamdia sp.,,bagre de Rio,Exotic,Freshwater,,
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater,,
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater,,
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater,,
Fishes,Ictaluridae,Pylodictis olivaris,,Flathead Catfish,Native,Freshwater,,
Fishes,Lepisosteidae,Atractosteus spatula,,Alligator Gar,Native,Freshwater,,
Fishes,Loricariidae,Ancistrus sp.,,bristlenosed catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Farlowella vittata,,twig catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Glyptoperichthys gibbiceps,,leopard pleco,Exotic,Freshwater,,
Fishes,Loricariidae,Hypostomus plecostomus,,Suckermouth Catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Hypostomus sp.,,suckermouth catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Pterygoplichthys anisitsi,,Paraná Sailfin Catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Pterygoplichthys disjunctivus,,Vermiculated Sailfin Catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Pterygoplichthys multiradiatus,,Orinoco Sailfin Catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Pterygoplichthys pardalis,,Amazon Sailfin Catfish,Exotic,Freshwater,,
Fishes,Loricariidae,Pterygoplichthys sp.,,sailfin armored catfish,Exotic,Freshwater,,
Fishes,Mastacembelidae,Macrognathus siamensis,,Spotfin Spiny Eel,Exotic,Freshwater,,
Fishes,Monodactylidae,Monodactylus sebae,,African moony,Exotic,Freshwater,,
Fishes,Moronidae,Morone chrysops,,White Bass,Native,Freshwater-Marine,,
Fishes,Moronidae,Morone chrysops x M. saxatilis,,wiper,Native Hybrid,Freshwater-Marine,,
Fishes,Moronidae,Morone saxatilis,,Striped Bass,Native,Freshwater-Marine,,
Fishes,Notopteridae,Chitala ornata,,Clown Knifefish,Exotic,Freshwater,,
Fishes,Osphronemidae,Betta splendens,,Siamese fighting fish,Exotic,Freshwater,,
Fishes,Osphronemidae,Colisa lalia,,dwarf gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Macropodus opercularis,,paradise fish,Exotic,Freshwater,,
Fishes,Osphronemidae,Osphronemus goramy,,giant gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Trichogaster fasciata,,banded gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Trichogaster labiosa,,thicklipped gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Trichogaster trichopterus,,three-spot gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Trichopodus leerii,,pearl gourami,Exotic,Freshwater,,
Fishes,Osphronemidae,Trichopsis vittata,,Croaking Gourami,Exotic,Freshwater,,
Fishes,Osteoglossidae,Osteoglossum bicirrhosum,,Silver Arowana,Exotic,Freshwater,,
Fishes,Pangasiidae,Pangasianodon hypophthalmus,,iridescent shark,Exotic,Freshwater,,
Fishes,Percidae,Ammocrypta bifascia,,Florida Sand Darter,Native,Freshwater,,
Fishes,Percidae,Etheostoma edwini,,Brown Darter,Native,Freshwater,,
Fishes,Percidae,Perca flavescens,,Yellow Perch,Native,Freshwater,,
Fishes,Percidae,Sander canadensis,,Sauger,Native,Freshwater,,
Fishes,Percidae,Sander vitreus,,Walleye,Native,Freshwater,,
Fishes,Pimelodidae,Leiarius marmoratus,,Marbled Pim,Exotic,Freshwater,,
Fishes,Pimelodidae,Phractocephalus hemioliopterus,,redtail catfish,Exotic,Freshwater,,
Fishes,Poeciliidae,Belonesox belizanus,,Pike Killifish,Exotic,Freshwater,,
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater,,
Fishes,Poeciliidae,Poecilia kykesis,,Péten molly,Exotic,Freshwater,,
Fishes,Poeciliidae,Poecilia latipinna x velifera,,black molly,Exotic Hybrid,Freshwater,,
Fishes,Poeciliidae,Poecilia latipunctata,,Tamesí Molly,Exotic,Freshwater,,
Fishes,Poeciliidae,Poecilia reticulata,,Guppy,Exotic,Freshwater,,
